RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,competencia,costo_edicion,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
1469,22,400.0,15,8,3,0.15,400,GOVERNED,0.5,0.7,5,3,22,GOVERNED,1,93,282,18,151,77,77,5,0,0.0,1.077922077922078,10.0,0.0,10.0
1482,23,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,0.9,5,3,23,OPEN_LOOP,7,394,0,0,0,7,6,6,0,0.1428571428571429,1.0,70.0,0.0,70.0
1483,23,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,1.0,5,3,23,OPEN_LOOP,7,394,0,0,0,7,6,6,0,0.1428571428571429,1.0,70.0,0.0,70.0
1477,23,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,0.7,5,3,23,OPEN_LOOP,4,400,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
1468,22,400.0,15,8,3,0.15,400,GOVERNED,0.5,0.5,5,3,22,GOVERNED,0,53,326,16,245,83,83,4,0,0.0,1.0602409638554218,0.0,0.0,0.0
1476,23,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,0.5,5,3,23,OPEN_LOOP,4,400,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
1481,23,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,0.7,5,3,23,OPEN_LOOP,7,394,0,0,0,7,6,6,0,0.1428571428571429,1.0,70.0,0.0,70.0
1488,23,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,0.5,5,3,23,COLD_RESTART,8,400,0,0,0,0,0,0,0,0.0,0.0,80.0,0.0,80.0
1489,23,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,0.7,5,3,23,COLD_RESTART,8,400,0,0,0,0,0,0,0,0.0,0.0,80.0,0.0,80.0
1480,23,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,0.5,5,3,23,OPEN_LOOP,7,394,0,0,0,7,6,6,0,0.1428571428571429,1.0,70.0,0.0,70.0
1486,23,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,0.9,5,3,23,OPEN_LOOP,9,373,0,0,0,31,29,27,0,0.06451612903225812,1.6896551724137931,90.0,0.0,90.0
1492,23,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,0.5,5,3,23,COLD_RESTART,4,400,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
1490,23,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,0.9,5,3,23,COLD_RESTART,8,400,0,0,0,0,0,0,0,0.0,0.0,80.0,0.0,80.0
1484,23,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,0.5,5,3,23,OPEN_LOOP,9,373,0,0,0,31,29,27,0,0.06451612903225812,1.6896551724137931,90.0,0.0,90.0
1493,23,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,0.7,5,3,23,COLD_RESTART,4,400,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
1495,23,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,1.0,5,3,23,COLD_RESTART,4,400,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
1485,23,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,0.7,5,3,23,OPEN_LOOP,9,373,0,0,0,31,29,27,0,0.06451612903225812,1.6896551724137931,90.0,0.0,90.0
